name,color,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
AMC Ambassador Brougham,white,13,8,360,175,3821,11,73
AMC Ambassador DPL,green,15,8,390,190,3850,8.5,70
AMC Ambassador SST,green,17,8,304,150,3672,11.5,72
AMC Concord DL 6,white,20.2,6,232,90,3265,18.2,79
AMC Concord DL,green,18.1,6,258,120,3410,15.1,78
AMC Concord DL,white,23,4,151,,3035,20.5,82
AMC Concord,red,19.4,6,232,90,3210,17.2,78
AMC Concord,red,24.3,4,151,90,3003,20.1,80
AMC Gremlin,red,18,6,232,100,2789,15,73
AMC Gremlin,red,19,6,232,100,2634,13,71
AMC Gremlin,red,20,6,232,100,2914,16,75
AMC Gremlin,white,21,6,199,90,2648,15,70
AMC Hornet Sportabout (Wagon),blue,18,6,258,110,2962,13.5,71
AMC Hornet,red,18,6,199,97,2774,15.5,70
AMC Hornet,red,18,6,232,100,2945,16,73
AMC Hornet,blue,19,6,232,100,2901,16,74
AMC Hornet,green,22.5,6,232,90,3085,17.6,76
AMC Matador (Wagon),red,14,8,304,150,4257,15.5,74
AMC Matador (Wagon),green,15,8,304,150,3892,12.5,72
AMC Matador,blue,14,8,304,150,3672,11.5,73
AMC Matador,red,15,6,258,110,3730,19,75
AMC Matador,red,15.5,8,304,120,3962,13.9,76
AMC Matador,red,16,6,258,110,3632,18,74
AMC Matador,red,18,6,232,100,3288,15.5,71
AMC Pacer D/L,green,17.5,6,258,95,3193,17.8,76
AMC Pacer,white,19,6,232,90,3211,17,75
AMC Rebel SST (Wagon),green,,8,360,175,3850,11,70
AMC Rebel SST,white,16,8,304,150,3433,12,70
AMC Spirit DL,green,27.4,4,121,80,2670,15,79
Audi 100 LS,white,20,4,114,91,2582,14,73
Audi 100 LS,red,23,4,115,95,2694,15,75
Audi 100 LS,blue,24,4,107,90,2430,14.5,70
Audi 4000,red,34.3,4,97,78,2188,15.8,80
Audi 5000,green,20.3,5,131,103,2830,15.9,78
Audi 5000S (Diesel),green,36.4,5,121,67,2950,19.9,80
Audi Fox,green,29,4,98,83,2219,16.5,74
BMW 2002,green,26,4,121,113,2234,12.5,70
BMW 320i,blue,21.5,4,121,110,2600,12.8,77
Buick Century 350,white,13,8,350,175,4100,13,73
Buick Century Limited,blue,25,6,181,110,2945,16.4,82
Buick Century Luxus (Wagon),white,13,8,350,150,4699,14.5,74
Buick Century Special,green,20.6,6,231,105,3380,15.8,78
Buick Century,red,17,6,231,110,3907,21,75
Buick Century,white,22.4,6,231,110,3415,15.8,81
Buick Electra 225 Custom,white,12,8,455,225,4951,11,73
Buick Estate Wagon (Wagon),green,14,8,455,225,3086,10,70
Buick Estate Wagon (Wagon),blue,16.9,8,350,155,4360,14.9,79
Buick Lesabre Custom,blue,13,8,350,155,4502,13.5,72
Buick Opel Isuzu Deluxe,white,30,4,111,80,2155,14.8,77
Buick Regal Sport Coupe (Turbo),red,17.7,6,231,165,3445,13.4,78
Buick Skyhawk,green,21,6,231,110,3039,15,75
Buick Skylark 320,blue,15,8,350,165,3693,11.5,70
Buick Skylark Limited,white,28.4,4,151,90,2670,16,79
Buick Skylark,blue,20.5,6,231,105,3425,16.9,77
Buick Skylark,green,26.6,4,151,84,2635,16.4,81
Cadillac Eldorado,green,23,8,350,125,3900,17.4,79
Cadillac Seville,blue,16.5,8,350,180,4380,12.1,76
Chevroelt Chevelle Malibu,blue,16,6,250,105,3897,18.5,75
Chevrolet Bel Air,red,15,8,350,145,4440,14,75
Chevrolet Camaro,white,27,4,151,90,2950,17.3,82
Chevrolet Caprice Classic,white,13,8,400,150,4464,12,73
Chevrolet Caprice Classic,white,17,8,305,130,3840,15.4,79
Chevrolet Caprice Classic,green,17.5,8,305,145,3880,12.5,77
Chevrolet Cavalier 2-Door,white,34,4,112,88,2395,18,82
Chevrolet Cavalier Wagon,blue,27,4,112,88,2640,18.6,82
Chevrolet Cavalier,red,28,4,112,88,2605,19.6,82
Chevrolet Chevelle Concours (Wagon),green,,8,350,165,4142,11.5,70
Chevrolet Chevelle Concours (Wagon),blue,13,8,307,130,4098,14,72
Chevrolet Chevelle Malibu Classic,red,16,6,250,100,3781,17,74
Chevrolet Chevelle Malibu Classic,red,17.5,8,305,140,4215,13,76
Chevrolet Chevelle Malibu,blue,17,6,250,100,3329,15.5,71
Chevrolet Chevelle Malibu,green,18,8,307,130,3504,12,70
Chevrolet Chevette,white,29,4,85,52,2035,22.2,76
Chevrolet Chevette,red,30,4,98,68,2155,16.5,78
Chevrolet Chevette,green,30.5,4,98,63,2051,17,77
Chevrolet Chevette,green,32.1,4,98,70,2120,15.5,80
Chevrolet Citation,blue,23.5,6,173,110,2725,12.6,81
Chevrolet Citation,white,28,4,151,90,2678,16.5,80
Chevrolet Citation,white,28.8,6,173,115,2595,11.3,79
Chevrolet Concours,green,17.5,6,250,110,3520,16.4,77
Chevrolet Impala,blue,11,8,400,150,4997,14,73
Chevrolet Impala,green,13,8,350,165,4274,12,72
Chevrolet Impala,green,14,8,350,165,4209,12,71
Chevrolet Impala,blue,14,8,454,220,4354,9,70
Chevrolet Malibu Classic (Wagon),white,19.2,8,267,125,3605,15,79
Chevrolet Malibu,red,13,8,350,145,3988,13,73
Chevrolet Malibu,green,20.5,6,200,95,3155,18.2,78
Chevrolet Monte Carlo Landau,white,15.5,8,350,170,4165,11.4,77
Chevrolet Monte Carlo Landau,blue,19.2,8,305,145,3425,13.2,78
Chevrolet Monte Carlo S,blue,15,8,350,145,4082,13,73
Chevrolet Monte Carlo,green,15,8,400,150,3761,9.5,70
Chevrolet Monza 2+2,green,20,8,262,110,3221,13.5,75
Chevrolet Nova Custom,white,16,6,250,100,3278,18,73
Chevrolet Nova,green,15,6,250,100,3336,17,74
Chevrolet Nova,green,18,6,250,105,3459,16,75
Chevrolet Nova,blue,22,6,250,105,3353,14.5,76
Chevrolet Vega (Wagon),blue,22,4,140,72,2408,19,71
Chevrolet Vega 2300,white,28,4,140,90,2264,15.5,71
Chevrolet Vega,blue,20,4,140,90,2408,19.5,72
Chevrolet Vega,green,21,4,140,72,2401,19.5,73
Chevrolet Vega,blue,25,4,140,75,2542,17,74
Chevrolet Woody,green,24.5,4,98,60,2164,22.1,76
Chevy C10,white,13,8,350,145,4055,12,76
Chevy C20,red,10,8,307,200,4376,15,70
Chevy S-10,white,31,4,119,82,2720,19.4,82
Chrysler Cordoba,green,15.5,8,400,190,4325,12.2,77
Chrysler Lebaron Medallion,red,26,4,156,92,2585,14.5,82
Chrysler Lebaron Salon,green,17.6,6,225,85,3465,16.6,81
Chrysler Lebaron Town & Country (Wagon),blue,18.5,8,360,150,3940,13,79
Chrysler New Yorker Brougham,blue,13,8,440,215,4735,11,73
Chrysler Newport Royal,red,13,8,400,190,4422,12.5,72
Citroen DS-21 Pallas,red,,4,133,115,3090,17.5,70
Datsun 1200,green,35,4,72,69,1613,18,71
Datsun 200SX,red,23.9,4,119,97,2405,14.9,78
Datsun 200SX,white,32.9,4,119,100,2615,14.8,81
Datsun 210,white,31.8,4,85,65,2020,19.2,79
Datsun 210,white,37,4,85,65,1975,19.4,81
Datsun 210,red,40.8,4,85,65,2110,19.2,80
Datsun 280ZX,green,32.7,6,168,132,2910,11.4,80
Datsun 310 GX,white,38,4,91,67,1995,16.2,82
Datsun 310,red,37.2,4,86,65,2019,16.4,80
Datsun 510 (Wagon),white,28,4,97,92,2288,17,72
Datsun 510 Hatchback,blue,37,4,119,92,2434,15,80
Datsun 510,white,27.2,4,119,97,2300,14.7,78
Datsun 610,green,22,4,108,94,2379,16.5,73
Datsun 710,white,24,4,119,97,2545,17,75
Datsun 710,red,32,4,83,61,2003,19,74
Datsun 810 Maxima,red,24.2,6,146,120,2930,13.8,81
Datsun 810,green,22,6,146,97,2815,14.5,77
Datsun B-210,green,32,4,85,70,1990,17,76
Datsun B210 GX,red,39.4,4,85,70,2070,18.6,78
Datsun B210,green,31,4,79,67,1950,19,74
Datsun F-10 Hatchback,blue,33.5,4,85,70,1945,16.8,77
Datsun PL510,white,27,4,97,88,2130,14.5,70
Datsun PL510,green,27,4,97,88,2130,14.5,71
